modelId,since-create,since-last-model-update,has-license,what-license,what-library,what-task,num-commit,num-discussion,model-size,num-update,update-interval,since-last-update,num-update-contributor,isEnglish,num-code-block,num-inline-code,num-list,num-link,num-img,num-table,num-emoji,num-heading,num-word,has-description,has-uses,has-limitations-and-bias,has-training,has-evaluation,quality
DrishtiSharma/wav2vec2-large-xls-r-300m-ab-v4,1.85529205,2.423890226,0.798216154,-0.461010685,0.299298984,-0.950937518,-0.274891378,-0.121623863,-0.173519568,-0.358147335,3.249897182,2.143867955,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.6605308,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.267469304,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,0
Helsinki-NLP/opus-mt-es-nl,4.140787077,-0.013240778,0.798216154,-0.461010685,0.299298984,-1.361188309,1.151112349,-0.121623863,-0.204530815,-0.054991913,1.519720105,2.690144843,1.439939732,0.202999486,-0.414581599,-0.326488017,0.016980226,-0.143658785,-0.100524931,0.604294654,-0.136523566,-0.594533146,-0.35255433,0.53973304,-0.852438549,-0.242196651,-0.852438549,1.722958615,0
Helsinki-NLP/opus-mt-sv-tiv,4.115671747,-0.013240778,0.798216154,-0.461010685,0.299298984,-1.361188309,0.922951753,-0.121623863,-0.205394117,-0.054991913,1.519720105,2.686214793,1.439939732,0.202999486,-0.414581599,-0.326488017,0.016980226,-0.143658785,-0.100524931,0.604294654,-0.136523566,-0.594533146,-0.35255433,0.53973304,1.173105088,-0.242196651,1.173105088,-0.580396994,0
MultiBertGunjanPatrick/multiberts-seed-15,2.303780085,2.913895401,0.798216154,-0.461010685,0.299298984,-1.361188309,-0.217851229,-0.121623863,-0.199954125,-0.054991913,0.677463815,2.591893604,-0.260176026,0.202999486,0.376987298,-0.155223022,-0.224351239,0.194519349,-0.057377764,-0.486313316,-0.136523566,0.179291494,0.551615872,0.53973304,1.173105088,4.128876245,1.173105088,-0.580396994,1
SauravMaheshkar/clr-finetuned-bert-large-uncased,2.572872906,2.961176602,0.798216154,0.936307939,0.299298984,-0.540686728,-0.274891378,-0.121623863,-0.170989279,-0.054991913,0.804309641,2.635124149,1.439939732,0.202999486,-0.414581599,-0.326488017,-0.70701417,0.059248095,-0.057377764,0.604294654,-0.136523566,-0.691261226,-0.353688797,-1.852767805,1.173105088,-0.242196651,1.173105088,1.722958615,0
ali2066/finetuned_sentence_itr0_2e-05_all_27_02_2022-22_25_09,1.740479113,2.286344913,0.798216154,-0.461010685,0.20743074,0.55331538,-0.103770931,-0.121623863,-0.205508903,-0.358147335,3.087534524,2.018106369,-0.260176026,0.202999486,-0.414581599,-0.326488017,0.419199335,-0.346565666,-0.100524931,0.604294654,-0.136523566,-0.014164666,-0.249317832,0.53973304,1.173105088,-0.242196651,1.173105088,1.722958615,0
aypan17/distilgpt2-imdb,1.751242826,2.299239786,0.798216154,-0.461010685,0.299298984,0.690065644,-0.388971676,-0.121623863,-0.203381754,-0.206569624,1.088444293,2.029896518,1.439939732,0.202999486,-0.414581599,-0.326488017,0.17786787,-0.278930039,-0.100524931,-0.486313316,-0.136523566,-0.014164666,-0.311713517,0.53973304,1.173105088,-0.242196651,1.173105088,-0.580396994,0
emre/distilbert-tr-q-a,1.776358156,2.329327823,-1.252793489,-0.810340341,0.299298984,0.279814853,-0.103770931,-0.042557921,-0.199964179,-0.358147335,3.138272855,2.057406865,-0.260176026,0.202999486,0.376987298,-0.326488017,-0.546126526,-0.278930039,-0.100524931,-0.486313316,-0.136523566,-0.497805066,-0.252721233,0.53973304,1.173105088,-0.242196651,1.173105088,-0.580396994,1
google/multiberts-seed_0-step_800k,2.145912297,2.772051798,0.798216154,-0.461010685,0.299298984,-1.361188309,-0.446011826,-0.121623863,-0.199954125,-0.358147335,3.660877661,2.462201969,-0.260176026,0.202999486,0.376987298,-0.326488017,-0.546126526,0.126883722,-0.100524931,-0.486313316,-0.136523566,-0.401076986,0.072870797,0.53973304,-0.852438549,-0.242196651,-0.852438549,-0.580396994,1
huggingtweets/ai_hexcrawl-gptmicrofic,2.321719606,2.982668057,-1.252793489,-0.810340341,0.299298984,0.690065644,-0.331931527,-0.042557921,-0.197705216,-0.054991913,0.687611481,2.654774397,-0.260176026,0.202999486,-0.1507253,-0.326488017,-0.70701417,0.329790603,0.028916571,0.604294654,0.315375399,-0.207620826,-0.164232807,-1.852767805,1.173105088,4.128876245,1.173105088,-0.580396994,1
huggingtweets/evetheism,2.910135908,3.494164687,-1.252793489,-0.810340341,-0.160042239,0.690065644,-0.217851229,-0.121623863,-0.197705081,-0.054991913,0.961598467,3.287512375,-0.260176026,0.202999486,-0.1507253,-0.326488017,-0.70701417,0.39742623,0.028916571,0.604294654,0.315375399,-0.207620826,-0.173308543,0.53973304,1.173105088,4.128876245,1.173105088,-0.580396994,1
